TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
     1       1              inf   1.00000000e+00  
     1       2   1.00000000e+00   9.36461657e-01  
     1       3   1.01518147e+00   5.69997021e-01  
     1       4   1.71621518e-01   9.03341633e-01  
     1       5   3.67750278e-01   9.84456125e-01  
     1       6   3.59705502e-01   9.85323462e-01  
     1       7   1.36720666e-02   1.00239374e+00  
     1       8   2.94182108e-03   1.00519830e+00  
     1       9   1.36542069e-03   1.00733080e+00  
     1      10   1.65183123e-01   5.35752664e-01  
     1      11   8.22954678e-02   9.47773575e-01  
     1      12   4.27554351e-02   9.96731953e-01  
     1      13   8.78324173e-03   6.29324151e-01  
     1      14   3.72034783e-03   7.77252790e-01  
     1      15   4.71524710e-04   7.91574667e-01  
     1      16   4.75601454e-04   7.56452848e-01  
     1      17   6.03409510e-04   7.62131795e-01  
     1      18   2.64169795e-03   6.43002078e-01  
     1      19   4.78692698e-03   9.91548984e-02  
     1      20   2.46497724e-03   1.40007336e-01  
     1      21   2.88684396e-04   3.40520743e-01  
     1      22   3.25008688e-04   3.45352228e-01  
     1      23   5.16507855e-04   2.66490059e-01  
     1      24   3.07209563e-04   2.39394638e-02  
     1      25   1.36165428e-04   2.17742004e-03  
     2       1   6.27765932e-01   6.92311386e+00  
     2       2   2.59714712e-02   1.03062462e+00  
     2       3   1.71148917e-03   1.02870456e+00  
     2       4   1.67138425e-03   1.02858448e+00  
     2       5   1.49452483e-02   1.02944253e+00  
     2       6   1.18544719e-02   1.02775723e+00  
     2       7   1.02248570e-02   1.03042009e+00  
     2       8   1.25397749e-02   1.03083600e+00  
     2       9   3.14880687e-02   1.03218768e+00  
     2      10   3.78815436e-03   1.03270129e+00  
     2      11   1.38370005e-02   1.03329151e+00  
     2      12   7.73190819e-02   1.02724134e+00  
     2      13   2.98571191e-02   1.02955048e+00  
     2      14   1.15245356e-02   1.03359459e+00  
     2      15   5.67341390e-03   1.03030402e+00  
     2      16   2.12906987e-03   1.03166059e+00  
     2      17   2.01422889e-03   1.03196144e+00  
     2      18   1.87084840e-03   1.03202190e+00  
     2      19   1.90267369e-03   1.03209779e+00  
     2      20   1.77465943e-03   1.03223361e+00  
     2      21   1.62269065e-03   1.03223283e+00  
     2      22   1.32758333e-03   1.03229279e+00  
     2      23   8.68475597e-04   1.03237629e+00  
     2      24   7.53575613e-04   1.03237267e+00  
     2      25   6.59124629e-04   1.03235249e+00  
     2      26   6.87415592e-04   1.03234227e+00  
     2      27   6.25139619e-04   1.03231078e+00  
     2      28   6.56119147e-04   1.03230313e+00  
     2      29   7.24164426e-04   1.03230534e+00  
     2      30   7.81940505e-04   1.03229872e+00  
     2      31   7.94561080e-04   1.03229867e+00  
     2      32   5.56018823e-04   1.03223704e+00  
