TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
     1      25      25       1      19       5       0  
     2     125     100       0      50      47      21  
     3     151      26       1      50       8      17  
     4     162      11       1      50       1       9  
     5     168       6       1      50       0       5  
     6     174       6       1      50       0       5  
     7     179       5       1      50       0       4  
     8     185       6       1      50       0       5  
     9     190       5       1      50       0       4  
    10     195       5       1      50       1       3  
    11     199       4       1      50       1       2  
    12     203       4       1      50       0       3  
    13     207       4       1      50       0       3  
    14     212       5       1      50       0       4  
    15     216       4       1      50       0       3  
    16     220       4       1      50       0       3  
    17     224       4       1      50       0       3  
    18     229       5       1      50       0       4  
    19     234       5       1      50       0       4  
    20     239       5       1      50       0       4  
    21     243       4       1      50       0       3  
    22     247       4       1      50       0       3  
    23     252       5       1      50       0       4  
    24     257       5       1      50       0       4  
    25     261       4       1      50       0       3  
    26     265       4       1      50       0       3  
    27     270       5       1      50       0       4  
    28     275       5       1      50       0       4  
    29     279       4       1      50       0       3  
    30     283       4       1      50       0       3  
    31     287       4       1      50       0       3  
    32     291       4       1      50       0       3  
    33     295       4       1      50       0       3  
    34     299       4       1      50       0       3  
    35     303       4       1      49       0       4  
    36     307       4       1      49       0       3  
    37     311       4       1      49       0       3  
    38     315       4       1      48       0       4  
    39     319       4       1      47       0       4  
    40     323       4       1      47       0       3  
    41     327       4       1      47       0       3  
    42     331       4       1      46       0       4  
    43     334       3       1      44       0       4  
    44     338       4       1      44       0       3  
    45     342       4       1      44       0       3  
    46     346       4       1      44       0       3  
    47     350       4       1      44       0       3  
    48     354       4       1      44       0       3  
    49     358       4       1      44       0       3  
    50     362       4       1      44       0       3  
    51     366       4       1      44       0       3  
    52     370       4       1      44       0       3  
    53     374       4       1      44       0       3  
    54     378       4       1      44       0       3  
    55     382       4       1      44       0       3  
    56     385       3       1      43       0       3  
    57     389       4       1      43       0       3  
    58     393       4       1      44       0       2  
    59     396       3       1      43       0       3  
    60     400       4       1      43       0       3  
    61     404       4       1      43       0       3  
    62     408       4       1      43       0       3  
    63     412       4       1      43       0       3  
    64     416       4       1      43       0       3  
    65     420       4       1      43       0       3  
    66     424       4       1      43       0       3  
    67     428       4       1      43       0       3  
    68     431       3       1      42       0       3  
    69     435       4       1      42       0       3  
    70     439       4       1      42       0       3  
    71     443       4       1      43       0       2  
    72     447       4       1      43       0       3  
    73     451       4       1      43       0       3  
    74     455       4       1      44       0       2  
    75     458       3       1      43       0       3  
    76     462       4       1      43       0       3  
    77     465       3       1      42       0       3  
    78     468       3       1      41       0       3  
    79     472       4       1      41       0       3  
    80     476       4       1      41       0       3  
    81     480       4       1      41       0       3  
    82     484       4       1      41       0       3  
    83     488       4       1      42       0       2  
    84     491       3       1      41       0       3  
    85     495       4       1      41       0       3  
    86     498       3       1      40       0       3  
    87     502       4       1      40       0       3  
    88     506       4       1      40       0       3  
    89     510       4       1      40       0       3  
    90     514       4       1      41       0       2  
    91     518       4       1      41       0       3  
    92     522       4       1      42       0       2  
    93     526       4       1      43       0       2  
    94     529       3       1      42       0       3  
    95     533       4       1      42       0       3  
    96     536       3       1      41       0       3  
    97     539       3       1      40       0       3  
    98     543       4       1      40       0       3  
    99     547       4       1      41       0       2  
   100     550       3       1      40       0       3  
   101     554       4       1      41       0       2  
   102     558       4       1      41       0       3  
   103     561       3       1      40       0       3  
   104     565       4       1      40       0       3  
   105     569       4       1      40       0       3  
   106     573       4       1      40       0       3  
   107     577       4       1      40       0       3  
   108     580       3       1      39       0       3  
   109     584       4       1      40       0       2  
   110     588       4       1      40       0       3  
   111     592       4       1      41       0       2  
   112     596       4       1      42       0       2  
   113     600       4       1      42       0       3  
   114     603       3       1      41       0       3  
   115     607       4       1      42       0       2  
   116     611       4       1      42       0       3  
   117     615       4       1      42       0       3  
   118     619       4       1      43       0       2  
   119     623       4       1      43       0       3  
   120     627       4       1      43       0       3  
   121     631       4       1      43       0       3  
   122     635       4       1      43       0       3  
   123     639       4       1      44       0       2  
   124     643       4       1      44       0       3  
   125     647       4       1      44       0       3  
   126     651       4       1      44       0       3  
   127     655       4       1      44       0       3  
   128     659       4       1      44       0       3  
   129     663       4       1      45       0       2  
   130     666       3       1      44       0       3  
   131     670       4       1      44       0       3  
   132     674       4       1      44       0       3  
   133     678       4       1      44       0       3  
   134     682       4       1      44       0       3  
   135     686       4       1      44       0       3  
   136     690       4       1      44       0       3  
   137     694       4       1      44       0       3  
   138     698       4       1      44       0       3  
   139     702       4       1      44       0       3  
   140     706       4       1      44       0       3  
   141     710       4       1      44       0       3  
   142     714       4       1      44       0       3  
   143     718       4       1      44       0       3  
   144     722       4       1      44       0       3  
   145     725       3       1      44       0       2  
   146     729       4       1      44       0       3  
   147     733       4       1      44       0       3  
   148     736       3       1      43       0       3  
   149     740       4       1      43       0       3  
   150     743       3       1      42       0       3  
   151     747       4       1      42       0       3  
   152     751       4       1      42       0       3  
   153     755       4       1      42       0       3  
   154     759       4       1      42       0       3  
   155     762       3       1      41       0       3  
   156     766       4       1      41       0       3  
   157     769       3       1      40       0       3  
   158     772       3       1      39       0       3  
   159     775       3       1      38       0       3  
   160     779       4       1      39       0       2  
   161     783       4       1      39       0       3  
