TimeWindow  TotalIterations  Iterations  Convergence  
     1      25      25       1  
     2     125     100       0  
     3     151      26       1  
     4     162      11       1  
     5     168       6       1  
     6     174       6       1  
     7     179       5       1  
     8     185       6       1  
     9     190       5       1  
    10     195       5       1  
    11     199       4       1  
    12     203       4       1  
    13     207       4       1  
    14     212       5       1  
    15     216       4       1  
    16     220       4       1  
    17     224       4       1  
    18     229       5       1  
    19     234       5       1  
    20     239       5       1  
    21     243       4       1  
    22     247       4       1  
    23     252       5       1  
    24     257       5       1  
    25     261       4       1  
    26     265       4       1  
    27     270       5       1  
    28     275       5       1  
    29     279       4       1  
    30     283       4       1  
    31     287       4       1  
    32     291       4       1  
    33     295       4       1  
    34     299       4       1  
    35     303       4       1  
    36     307       4       1  
    37     311       4       1  
    38     315       4       1  
    39     319       4       1  
    40     323       4       1  
    41     327       4       1  
    42     331       4       1  
    43     334       3       1  
    44     338       4       1  
    45     342       4       1  
    46     346       4       1  
    47     350       4       1  
    48     354       4       1  
    49     358       4       1  
    50     362       4       1  
    51     366       4       1  
    52     370       4       1  
    53     374       4       1  
    54     378       4       1  
    55     382       4       1  
    56     385       3       1  
    57     389       4       1  
    58     393       4       1  
    59     396       3       1  
    60     400       4       1  
    61     404       4       1  
    62     408       4       1  
    63     412       4       1  
    64     416       4       1  
    65     420       4       1  
    66     424       4       1  
    67     428       4       1  
    68     431       3       1  
    69     435       4       1  
    70     439       4       1  
    71     443       4       1  
    72     447       4       1  
    73     451       4       1  
    74     455       4       1  
    75     458       3       1  
    76     462       4       1  
    77     465       3       1  
    78     468       3       1  
    79     472       4       1  
    80     476       4       1  
    81     480       4       1  
    82     484       4       1  
    83     488       4       1  
    84     491       3       1  
    85     495       4       1  
    86     498       3       1  
    87     502       4       1  
    88     506       4       1  
    89     510       4       1  
    90     514       4       1  
    91     518       4       1  
    92     522       4       1  
    93     526       4       1  
    94     529       3       1  
    95     533       4       1  
    96     536       3       1  
    97     539       3       1  
    98     543       4       1  
    99     547       4       1  
   100     550       3       1  
   101     554       4       1  
   102     558       4       1  
   103     561       3       1  
   104     565       4       1  
   105     569       4       1  
   106     573       4       1  
   107     577       4       1  
   108     580       3       1  
   109     584       4       1  
   110     588       4       1  
   111     592       4       1  
   112     596       4       1  
   113     600       4       1  
   114     603       3       1  
   115     607       4       1  
   116     611       4       1  
   117     615       4       1  
   118     619       4       1  
   119     623       4       1  
   120     627       4       1  
   121     631       4       1  
   122     635       4       1  
   123     639       4       1  
   124     643       4       1  
   125     647       4       1  
   126     651       4       1  
   127     655       4       1  
   128     659       4       1  
   129     663       4       1  
   130     666       3       1  
   131     670       4       1  
   132     674       4       1  
   133     678       4       1  
   134     682       4       1  
   135     686       4       1  
   136     690       4       1  
   137     694       4       1  
   138     698       4       1  
   139     702       4       1  
   140     706       4       1  
   141     710       4       1  
   142     714       4       1  
   143     718       4       1  
   144     722       4       1  
   145     725       3       1  
   146     729       4       1  
   147     733       4       1  
   148     736       3       1  
   149     740       4       1  
   150     743       3       1  
   151     747       4       1  
